iter	Passed	Remaining
0	12	12375
1	24	11991
2	35	11856
3	47	11725
4	63	12565
5	75	12458
6	86	12281
7	98	12196
8	103	11443
9	107	10629
10	119	10734
11	131	10830
12	142	10839
13	153	10844
14	165	10888
15	177	10915
16	189	10983
17	203	11083
18	214	11078
19	226	11122
20	239	11143
21	250	11153
22	262	11155
23	274	11180
24	285	11146
25	297	11150
26	309	11154
27	321	11176
28	335	11220
29	349	11298
30	363	11355
31	377	11413
32	391	11470
33	407	11589
34	422	11640
35	434	11624
36	446	11627
37	458	11607
38	470	11599
39	482	11572
40	493	11554
41	505	11529
42	517	11511
43	529	11509
44	540	11480
45	551	11446
46	563	11430
47	575	11410
48	587	11395
49	598	11371
50	610	11359
51	623	11368
52	635	11363
53	646	11333
54	657	11303
55	668	11277
56	680	11253
57	692	11241
58	703	11222
59	715	11203
60	726	11183
61	738	11168
62	749	11147
63	761	11133
64	773	11123
65	788	11154
66	800	11142
67	812	11136
68	824	11122
69	836	11109
70	848	11099
71	859	11071
72	871	11064
73	883	11052
74	894	11031
75	905	11014
76	917	10997
77	930	10994
78	942	10986
79	954	10978
80	966	10967
81	978	10956
82	990	10941
83	1001	10926
84	1014	10915
85	1026	10905
86	1038	10895
87	1054	10928
88	1067	10928
89	1081	10931
90	1100	10992
91	1117	11026
92	1129	11019
93	1141	11006
94	1153	10987
95	1165	10971
96	1176	10951
97	1187	10931
98	1199	10916
99	1211	10904
100	1223	10892
101	1236	10884
102	1247	10864
103	1259	10847
104	1270	10830
105	1282	10815
106	1295	10810
107	1306	10792
108	1317	10771
109	1329	10755
110	1341	10743
111	1353	10727
112	1365	10719
113	1377	10706
114	1388	10686
115	1400	10670
116	1411	10651
117	1422	10635
118	1434	10621
119	1446	10604
120	1457	10588
121	1469	10575
122	1481	10560
123	1493	10552
124	1505	10535
125	1516	10519
126	1531	10529
127	1545	10528
128	1558	10524
129	1577	10556
130	1593	10568
131	1607	10572
132	1622	10574
133	1636	10574
134	1652	10588
135	1671	10616
136	1689	10642
137	1716	10720
138	1741	10789
139	1763	10833
140	1778	10835
141	1800	10876
142	1823	10928
143	1842	10951
144	1859	10965
145	1875	10973
146	1892	10981
147	1909	10990
148	1925	10995
149	1940	10995
150	1953	10981
151	1968	10981
152	1984	10985
153	1999	10984
154	2014	10983
155	2029	10979
156	2043	10970
157	2058	10971
158	2072	10964
159	2088	10964
160	2104	10967
161	2118	10958
162	2132	10949
163	2148	10952
164	2162	10942
165	2176	10937
166	2192	10934
167	2206	10926
168	2218	10908
169	2231	10892
170	2241	10869
171	2253	10847
172	2264	10824
173	2276	10805
174	2288	10786
175	2300	10769
176	2312	10753
177	2324	10734
178	2336	10716
179	2348	10698
180	2360	10680
181	2385	10721
182	2402	10727
183	2418	10723
184	2434	10723
185	2449	10720
186	2464	10715
187	2479	10709
188	2494	10705
189	2507	10690
190	2519	10672
191	2531	10653
192	2543	10635
193	2555	10616
194	2566	10593
195	2579	10579
196	2590	10561
197	2601	10539
198	2613	10519
199	2625	10501
200	2636	10482
201	2648	10464
202	2660	10446
203	2672	10426
204	2683	10407
205	2695	10389
206	2707	10371
207	2718	10353
208	2730	10333
209	2741	10314
210	2753	10295
211	2767	10286
212	2778	10266
213	2790	10247
214	2802	10231
215	2813	10211
216	2825	10195
217	2837	10178
218	2849	10163
219	2861	10145
220	2873	10128
221	2884	10110
222	2896	10093
223	2908	10075
224	2920	10057
225	2931	10040
226	2943	10022
227	2955	10007
228	2967	9989
229	2978	9972
230	2989	9952
231	3001	9936
232	3017	9933
233	3029	9916
234	3041	9902
235	3054	9887
236	3066	9870
237	3078	9855
238	3089	9837
239	3101	9822
240	3113	9805
241	3124	9787
242	3136	9770
243	3147	9753
244	3159	9736
245	3171	9719
246	3182	9702
247	3193	9684
248	3205	9668
249	3217	9652
250	3228	9634
251	3240	9619
252	3252	9603
253	3264	9588
254	3275	9570
255	3287	9555
256	3299	9539
257	3311	9523
258	3322	9506
259	3334	9489
260	3346	9475
261	3357	9457
262	3369	9441
263	3381	9426
264	3392	9408
265	3403	9390
266	3415	9376
267	3426	9360
268	3439	9346
269	3451	9331
270	3463	9316
271	3475	9300
272	3486	9284
273	3498	9269
274	3509	9253
275	3521	9236
276	3533	9222
277	3544	9206
278	3556	9190
279	3570	9182
280	3582	9167
281	3594	9151
282	3606	9136
283	3617	9119
284	3628	9103
285	3640	9087
286	3654	9078
287	3666	9064
288	3680	9054
289	3692	9040
290	3705	9029
291	3721	9023
292	3736	9016
293	3752	9009
294	3766	9001
295	3779	8989
296	3793	8979
297	3807	8968
298	3821	8959
299	3833	8943
300	3845	8929
301	3857	8914
302	3869	8900
303	3880	8885
304	3892	8869
305	3903	8853
306	3915	8839
307	3928	8825
308	3940	8811
309	3951	8796
310	3963	8781
311	3975	8765
312	3986	8750
313	4002	8745
314	4015	8731
315	4026	8716
316	4038	8701
317	4050	8686
318	4063	8674
319	4075	8660
320	4087	8646
321	4100	8633
322	4111	8617
323	4123	8602
324	4134	8586
325	4146	8572
326	4159	8560
327	4171	8545
328	4182	8531
329	4194	8516
330	4206	8501
331	4219	8489
332	4230	8473
333	4242	8458
334	4253	8444
335	4266	8431
336	4278	8418
337	4290	8402
338	4301	8387
339	4313	8372
340	4326	8360
341	4338	8347
342	4351	8334
343	4362	8319
344	4374	8305
345	4386	8291
346	4398	8276
347	4409	8260
348	4421	8246
349	4433	8232
350	4444	8218
351	4456	8204
352	4468	8190
353	4483	8182
354	4498	8173
355	4511	8162
356	4526	8152
357	4540	8142
358	4553	8130
359	4568	8121
360	4583	8112
361	4595	8098
362	4607	8085
363	4618	8070
364	4629	8054
365	4641	8040
366	4652	8025
367	4664	8010
368	4678	7999
369	4690	7985
370	4701	7970
371	4713	7956
372	4724	7941
