"Source:<All>"

"Created: Month","F2F_CC","Created at location","Service","Enquiry Type","Total contact","Postcode trunc"
"Apr","CC","Contact Centre","ASBU","ASBU",1,"LS11"
"Apr","CC","Contact Centre","ASBU","ASBU",1,"LS7 "
"Apr","CC","Contact Centre","Adult Social Care","Advice",1,"LS11"
"Apr","CC","Contact Centre","Adult Social Care","Customer Relations",2,"LS17"
"Apr","CC","Contact Centre","Adult Social Care","Customer Relations",1," NFA"
"Apr","CC","Contact Centre","Adult Social Care","Customer Relations",1,"NW1 "
"Apr","CC","Contact Centre","Adult Social Care","Customer Relations",1,"LS26"
"Apr","CC","Contact Centre","Adult Social Care","Customer Relations",1,"2-8C"
"Apr","CC","Contact Centre","Adult Social Care","Customer Relations",1,"WF10"
"Apr","CC","Contact Centre","Adult Social Care","Customer Relations",1,"LS27"
"Apr","CC","Contact Centre","Adult Social Care","Customer Relations",1,"LS11"
"Apr","CC","Contact Centre","Adult Social Care","Customer Relations",1,"LS7 "
"Apr","CC","Contact Centre","Adult Social Care","Customer Relations",3,"LS14"
"Apr","CC","Contact Centre","Adult Social Care","Customer Relations",2,"LS21"
"Apr","CC","Contact Centre","Adult Social Care","Customer Relations",1,"LS28"
"Apr","CC","Contact Centre","Adult Social Care","Customer Relations",1,"LS6 "
"Apr","CC","Contact Centre","Adult Social Care","Customer Relations",1,"LS16"
"Apr","CC","Contact Centre","Adult Social Care","Customer Relations",1,"LS9 "
"Apr","CC","Contact Centre","Adult Social Care","Information",3,"LS5 "
"Apr","CC","Contact Centre","Adult Social Care","Information",1,"LS3 "
"Apr","CC","Contact Centre","Adult Social Care","Information",19,"LS26"
"Apr","CC","Contact Centre","Adult Social Care","Information",25,"LS28"
"Apr","CC","Contact Centre","Adult Social Care","Information",24,"LS25"
"Apr","CC","Contact Centre","Adult Social Care","Information",26,"LS27"
"Apr","CC","Contact Centre","Adult Social Care","Information",17,"LS22"
"Apr","CC","Contact Centre","Adult Social Care","Information",6,"LS23"
"Apr","CC","Contact Centre","Adult Social Care","Information",11,"LS21"
"Apr","CC","Contact Centre","Adult Social Care","Information",10,"LS18"
"Apr","CC","Contact Centre","Adult Social Care","Information",9,"LS20"
"Apr","CC","Contact Centre","Adult Social Care","Information",1,"YO12"
"Apr","CC","Contact Centre","Adult Social Care","Information",7,"WF3 "
"Apr","CC","Contact Centre","Adult Social Care","Information",8,"WF10"
"Apr","CC","Contact Centre","Adult Social Care","Information",23,"LS7 "
"Apr","CC","Contact Centre","Adult Social Care","Information",9,"LS4 "
"Apr","CC","Contact Centre","Adult Social Care","Information",19,"LS6 "
"Apr","CC","Contact Centre","Adult Social Care","Information",32,"LS9 "
"Apr","CC","Contact Centre","Adult Social Care","Information",356," NFA"
"Apr","CC","Contact Centre","Adult Social Care","Information",22,"LS10"
"Apr","CC","Contact Centre","Adult Social Care","Information",1,"LS1 "
"Apr","CC","Contact Centre","Adult Social Care","Information",15,"LS11"
"Apr","CC","Contact Centre","Adult Social Care","Information",30,"LS14"
"Apr","CC","Contact Centre","Adult Social Care","Information",33,"LS12"
"Apr","CC","Contact Centre","Adult Social Care","Information",28,"LS15"
"Apr","CC","Contact Centre","Adult Social Care","Information",28,"LS13"
"Apr","CC","Contact Centre","Adult Social Care","Information",26,"LS16"
"Apr","CC","Contact Centre","Adult Social Care","Information",11,"LS19"
"Apr","CC","Contact Centre","Adult Social Care","Information",33,"LS17"
"Apr","CC","Contact Centre","Adult Social Care","Information",29,"LS8 "
"Apr","CC","Contact Centre","Adult Social Care","Information",5,"LS2 "
"Apr","CC","Contact Centre","Adult Social Care","Information",1,"LS29"
"Apr","CC","Contact Centre","Adult Social Care","Permits",51,"LS10"
"Apr","CC","Contact Centre","Adult Social Care","Permits",1,"HX4 "
"Apr","CC","Contact Centre","Adult Social Care","Permits",4,"BD4 "
"Apr","CC","Contact Centre","Adult Social Care","Permits",13,"BD11"
"Apr","CC","Contact Centre","Adult Social Care","Permits",11," NFA"
"Apr","CC","Contact Centre","Adult Social Care","Permits",41,"LS6 "
"Apr","CC","Contact Centre","Adult Social Care","Permits",48,"LS8 "
"Apr","CC","Contact Centre","Adult Social Care","Permits",10,"LS4 "
"Apr","CC","Contact Centre","Adult Social Care","Permits",1,"LS29"
"Apr","CC","Contact Centre","Adult Social Care","Permits",1,"LS1 "
"Apr","CC","Contact Centre","Adult Social Care","Permits",47,"LS11"
"Apr","CC","Contact Centre","Adult Social Care","Permits",65,"LS14"
"Apr","CC","Contact Centre","Adult Social Care","Permits",47,"LS12"
"Apr","CC","Contact Centre","Adult Social Care","Permits",77,"LS15"
"Apr","CC","Contact Centre","Adult Social Care","Permits",64,"LS13"
"Apr","CC","Contact Centre","Adult Social Care","Permits",62,"LS16"
"Apr","CC","Contact Centre","Adult Social Care","Permits",28,"LS19"
"Apr","CC","Contact Centre","Adult Social Care","Permits",114,"LS17"
"Apr","CC","Contact Centre","Adult Social Care","Permits",55,"LS9 "
"Apr","CC","Contact Centre","Adult Social Care","Permits",45,"LS7 "
"Apr","CC","Contact Centre","Adult Social Care","Permits",1,"WF12"
