phase,stage,service,service_description,persona
A. Acquisition,1. Awareness,Regulatory Compliance,"Regulatory Compliance: Use Natural Language Processing to quickly scan legal and regulatory text for compliance issues, and do so at scale. Handle thousands of paperwork without any human interaction.",Operations
A. Acquisition,1. Awareness,Anti-Money Laundering,"AI, especially time series modeling, is particularly good at looking at series of complex transactions and finding anomalies. Anti-money laundering using machine learning techniques can find suspicious transactions and networks of transactions. These transactions are flagged for investigation and can be scored as high, medium or low priority so that the investigator can prioritize their efforts. The AI can also provide reason codes for the decision to flag the transaction. These reason code tell the investigator where they might look to uncover the issues and help to streamline the investigative process. AI can also learn from the investigators as they review and clear suspicious transactions and automatically reinforce the AI model’s understanding to avoid patterns that don’t lead to laundered money.   Citations:   https://www.h2o.ai/solutions/usecases/anti-money-laundering/",Operations
A. Acquisition,1. Awareness,Know Your Customer/Client (KYC),"AI is an ideal technology for finding anomalous patterns and identifying areas of risk especially where there are a large number of items of different types that need to be reviewed and potentially correlated. Machine learning can be used to perform analysis of transactions and can look for indicators of suspicious behavior including transactions with dubious jurisdictions, suspicious companies or known parties. AI can also offer better insights into transactions through analysis of both structured and unstructured data. Natural Language Processing (NLP) techniques allow AI systems to search through communications to find additional signal including extracting metadata, identifying people or companies referenced, and categorizing the intent or purpose of the communication. All of these can help pinpoint suspicious transactions and help investigators as they investigate transactions.   Citations:   https://www.h2o.ai/solutions/usecases/know-your-customer-client-kyc/",Operations
A. Acquisition,1. Awareness,Fraud Detection,"AI can be used to analyze large volumes of transactions to find fraud patterns and then use those patterns to identify fraud as it happens in real-time. When fraud is suspected, AI models can be used to reject transactions outright or flag transactions for investigation and can even score the likelihood of fraud, so investigators can prioritize their work on the most promising cases. The AI model can also provide reason codes for the decision to flag the transaction. These reason codes tell the investigator where they might look to uncover the issues and help to streamline the investigative process. AI can also learn from the investigators as they review and clear suspicious transactions and automatically reinforce the AI model’s understanding to avoid patterns that don’t lead to fraudulent activities.   Citations:   https://www.h2o.ai/solutions/usecases/fraud-detection/",Operations
A. Acquisition,2. Consideration,Customer Segmentation,"AI-powered marketing analytics can lead companies to identify their customer groups more accurately. By discovering their loyal customers, companies can develop accurate marketing strategies and also retarget customers who have expressed interest in products or services before. Feel free to read more about marketing analytics with AI from this article.",Marketing
A. Acquisition,2. Consideration,Smart Segmentation,"AI based machine learning models can easily segment customers using a much wider variety of data including browsing behavior, prior purchases, demographics, household data from third parties and more. The outcome is much smaller groups of customers with clearly defined attributes that are customer-based including common characteristics, interest and intent. This information allows marketers to develop content and campaigns to target the most valuable or receptive segments for a given message or product. This advanced targeting approach focuses marketing creative resources on the right messages for the most valuable customers which yields higher conversion rates and higher revenues from marketing campaigns and reduced waste.   Citations:   https://www.h2o.ai/solutions/usecases/smart-segmentation/",Marketing
A. Acquisition,3. Qualification,Personalized Marketing,"Personalized Marketing: The more companies understand their customers, the better they serve them. AI can assist companies in this task and support them in giving personalized experiences for customers.   As an example, suppose you visited an online store and looked at a product but didn’t buy it. Afterward, you see that exact product in digital ads. More than that, companies can send personalized emails or special offers and recommend new products that go along with customers’ tastes.",Marketing
A. Acquisition,3. Qualification,Context Aware Marketing,"Context-Aware Marketing: You can leverage machine vision and Natural Language Processing to understand the context where your ads will be served. With context-aware advertising, you can protect your brand and increase marketing efficiency by ensuring your message fits its context, making static images on the web come alive with your messages.",Marketing
A. Acquisition,3. Qualification,Next Best Offer,"AI based machine learning models are ideal for offer optimization. Using AI, marketers can determine which customers are likely to be interested in current offers and only those customers will receive them. With AI models, marketers can use more data on customers including browsing behavior, prior purchases, demographics, household data and more to determine customer interests and intent. AI models can be used to create granular segments of customers using rich data and then to determine the characteristics of products or offers that each group would find most interesting. This can help the marketing team to develop content and offers that would best appeal to each segment which increases conversion rates and dramatically reduces waste in creative content development.   Citations:   https://www.h2o.ai/solutions/usecases/next-best-offer/",Marketing
A. Acquisition,3. Qualification,Content Personalization,"AI techniques can be used to create 1:1 personalization of content that matches the right content with the right customer at the right time. AI models can use a broad set of signals about customer intent including real-time behaviors, prior purchases, preferences, and interests of similar customers. For website landing pages, for example, AI can be used to dynamically select the content including images and messages that will be most likely to convert a given customer. For emails, AI can be used to dynamically compose an email creative from available images and offers to provide the greatest appeal. For all these cases, the content that is selected is based on the individual customer’s real-time behavior, most recent purchases and interests, instead of old insights or broad segments.   Citations:   https://www.h2o.ai/solutions/usecases/content-personalization/",Marketing
A. Acquisition,3. Qualification,Lead Generation,Lead generation: Use a comprehensive data profile of your visitors to identify which companies your sales reps need to connect. Generate leads for your sales reps leveraging databases and social networks,Sales
A. Acquisition,3. Qualification,Lead Scoring,"AI based machine learning models can score marketing leads using a wider variety of factors and learn from those leads that ultimately became opportunities and those that created revenue. By looking at more information about customer behavior, company size, industry, etc., each lead can be evaluated and scored with sales representatives receiving a ranked list of leads for follow-up. AI can also provide reason codes for each lead so that sales knows the key factors that make the lead valuable. This optimized process insures that sales is working the highest quality leads available which drives faster ramp up from working on consistent leads, quota achievement, less turnover and overall lower sales costs.   Citations:   https://www.h2o.ai/solutions/usecases/lead-scoring/",Sales
A. Acquisition,3. Qualification,Sales data input automation,"Sales Data Input Automation: Data from various sources will be effortlessly and intelligently copied into your CRM. Automatically sync calendar, address book, emails, phone calls, and messages of your salesforce to your CRM system. Enjoy better sales visibility and analytics while giving your sales personnel more sales time.",Sales
A. Acquisition,3. Qualification,Credit Risk Scoring,"AI is a great solution for credit scoring using more data to provide an individualized credit score based on factors including current income, employment opportunity, recent credit history, and ability to earn in addition to older credit history. This more granular and individualized approach allows banks and credit card companies the ability to more accurately assess each borrower and allows them to provide credit to people who would have been denied under the scorecard system including people with income potential such as new college graduates or temporary foreign nationals. AI can also adapt to new problems, like credit card churners, who might have a high credit score, but are not likely to be profitable for the card issuer. AI can also satisfy regulatory requirements to provide reason codes for credit decisions that explain the key factors in credit decisions.   Citations:   https://www.h2o.ai/solutions/usecases/credit-risk-scoring/",Sales
A. Acquisition,3. Qualification,Personalized Rate Management,"AI is ideal for anomaly detection, clustering, and creating recommendations, which makes it ideal for finding the issues and developing more individualized insurance policies and rates. For automotive insurance, for example, AI can be used to determine the customer behaviors, such as hard breaking, that lead to more accidents. AI can be used to create granular clusters of customers based on behavior which can be used for segmentation. AI can also be used to evaluate a variety of factors when assessing risk of a serious accident based on the location where most of the driving takes place, city versus highway, daytime or nighttime driving, and other factors. Using more personalized data to make the risk assessment results in an individualized picture of risk and the creation of personalized rates for consumers.   Citations:   https://www.h2o.ai/solutions/usecases/personalized-rate-management/",Sales
A. Acquisition,3. Qualification,Credit Lending & Scoring,Credit Lending & Scoring: Use AI for robust credit lending applications. Use predictive models to uncover potentially non-performing loans and act. See the potential credit scores of your customers before they apply for a loan and provide custom-tailored plans.,Sales
B. Engagement,4. Evaluation,Sales forecasting,"Sales Forecasting: AI allows automatic and accurate sales forecasts based on all customer contacts and previous sales outcomes. Automatically forecast sales accurately based on all customer contacts and previous sales outcomes. Give your sales personnel more sales time while increasing forecast accuracy. Hewlett Packard Enterprise indicates that it has experienced a 5x increase in forecast simplicity, speed, and accuracy with Clari’s sales forecasting tools.",Sales
B. Engagement,4. Evaluation,Predictive sales / lead scoring,"Predictive sales/lead scoring: Use Artificial Intelligence to enable predictive sales. Score leads to prioritize sales rep actions based on lead scores and contact factors. Sales forecasting is automated with increased accuracy thanks to systems’ granular access to lead scores and sales rep performance. For scoring leads, these systems leverage anonymized transaction data from their customers, sales data of this specific customer. For assessing contact factors, these systems leverage anonymized data and analyze all customer contacts such as email and calls.",Sales
B. Engagement,4. Evaluation,Sales Rep Chat / Email Bot,"Sales Rep Chat/ Email Bot: Chatbots are ideal to answer first customer questions. If the chatbot decides that it can not adequately serve the customer, it can pass those customers to human agents. Let 24/7 functioning, intelligent, self-improving bots handle making initial contacts to leads. High value, responsive leads will be called by live agents, increasing sales effectiveness.",Sales
B. Engagement,4. Evaluation,Sales Rep Response suggestions,Sales Rep Response Suggestions: AI will suggest responses during live conversations or written messages with leads. Bots will listen in on agents’ calls suggesting best practice answers to improve sales effectiveness,Sales
B. Engagement,4. Evaluation,Sales rep next action Suggestions,Sales Rep Next Action Suggestions: Your sales reps’ actions and leads will be analyzed to suggest the next best action. This situation wise solution will help your representatives to find the right way to deal with the issue. Historical data and profile of the agent will help you to achieve higher results. All are leading to more customer satisfaction.,Sales
B. Engagement,4. Evaluation,Sales content personalization and analytics,"Sales Content Personalization and Analytics: Preferences and browsing behavior of high priority leads are analyzed to match them with the right content, aimed to answer their most important questions. Personalize your sales content and analyze its effectiveness allowing continuous improvement.",Sales
