case_id,gps_nac_adopter,survey_source,home,state,age_binned,educ_binned,f1,f2,trig1,trig3,trig2,trig4,n1,n2,n3,f3,f4,cijm1,cijm2,cijm3,cns1,cns2,cns4,vb1,vb2,vb3,va1,va2,va3,vt1,vt2,vt3,ve1,ve2,ve4,vo1,vo2,vo3,pn1,pn2,pn3,e2,bte7,bb1,bb2,bb3,bte8,be13,be10,co3,be11,m3,bo15,bte9,pbc7,pbc9,m2,pbc3,m4,pbc5,m1,tru5,tr1,tr2,tr3,dep1,dep2,dep3,m6,suit1,suit2,o3,sn1,sn4,sn5,dv1,dv2,dv3,dv4,dv7,int_q1,int_q2,int_q3,int_q4,int_q5,int_q6,int_q7,tr_gov,tr_comp,tr_trade,tr_util,tr_online,tr_frfam,tr_neighb,tr_envorg,tr_univ,inv_neighfr,inv_party,inv_onlinecust,inv_onlinevideo,inv_reviews,inv_facebk,inv_govtweb,winter_nopv_binned,summer_nopv_binned,bills,power,stance,social,econ,cityyrs_binned,hmyrs_1_text,sqft_binned,gender,people_tot_3plus,have_kids,employ_1,employ_2,employ_5,retired,financial,income_binned
1,true,true,1,1,4,4,true,false,false,true,false,false,false,false,false,0,false,4,4,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,4,4,3,3,3,3,3,4,2,4,4,3,2,3,3,3,3,3,2,2,5,3,2,4,3,3,3,4,4,4,2,4,3,3,3,3,3,1,3,2,3,4,4,4,2,1,2,1,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,4,4,4,4,4,4,6,4,3,2,2,2,2,6,0,3,0,false,0,false,false,false,true,2,3
2,true,true,1,4,3,4,true,true,false,true,true,false,false,true,false,1,false,4,4,4,4,3,4,4,4,4,4,4,5,4,4,4,3,3,1,4,4,5,5,5,3,5,4,5,5,5,4,4,5,5,4,1,2,2,2,3,98,98,4,98,3,5,5,5,4,4,3,98,1,1,1,1,4,1,5,5,5,3,5,3,5,5,5,5,5,4,5,5,3,4,3,4,4,4,3,4,5,3,3,3,4,2,4,7,8,1,1,2,2,3,5,20,3,1,false,0,true,false,false,false,2,4
3,true,true,1,2,4,1,true,true,false,true,true,false,false,false,false,0,true,1,2,2,2,3,3,4,4,3,5,4,5,5,4,3,4,4,4,3,3,4,3,3,4,4,4,3,98,3,3,3,98,3,4,3,4,3,5,98,3,4,4,3,3,4,4,5,4,98,98,4,2,2,2,2,3,2,4,4,4,4,4,2,3,2,2,2,3,2,2,3,2,2,2,3,4,4,3,3,4,4,3,2,2,2,2,5,5,4,1,4,3,3,5,3,4,0,false,0,false,false,false,true,1,95
4,true,true,1,4,4,2,false,true,true,true,true,false,false,false,false,0,false,2,2,2,2,2,2,3,3,3,3,3,3,4,4,3,3,3,4,4,4,3,3,3,3,4,2,3,3,3,3,2,3,2,3,3,3,4,4,3,3,4,4,3,3,4,3,3,2,3,4,3,4,4,4,3,3,3,3,4,4,3,3,2,2,2,3,3,3,4,3,2,2,2,3,2,3,3,2,3,2,2,2,2,2,1,2,3,2,3,3,4,3,5,6,15,2,0,false,0,false,false,false,true,1,4
5,true,true,1,4,4,1,false,true,true,true,false,false,true,false,false,1,false,4,3,3,2,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,4,4,4,4,3,3,3,4,4,3,4,4,4,3,3,2,4,3,2,3,3,2,3,4,4,4,98,3,3,4,2,2,1,2,3,2,4,4,4,4,4,4,3,4,3,4,4,3,4,3,2,3,3,3,4,4,3,3,5,5,5,5,4,2,3,4,3,3,1,97,3,3,6,5,3,0,false,0,false,false,false,true,2,3
6,true,true,1,1,3,2,true,true,true,true,true,false,false,false,true,1,false,3,3,3,3,3,3,3,4,3,3,3,3,4,5,4,3,3,2,3,3,3,1,1,2,2,2,1,1,2,1,1,2,1,1,4,4,5,5,3,3,5,5,3,5,2,4,4,3,2,5,5,3,4,4,4,98,98,98,3,3,2,2,1,3,1,1,2,2,1,2,3,1,1,3,4,5,4,1,3,5,1,1,1,4,1,1,7,8,3,1,4,4,5,6,10,3,0,false,0,false,false,false,true,1,95
7,true,true,1,1,2,3,true,true,false,true,false,true,false,false,false,1,true,4,4,4,3,3,4,4,4,3,4,4,5,4,4,3,2,4,4,4,4,5,5,4,5,5,4,3,3,4,4,98,3,4,4,1,1,2,3,4,98,4,3,4,3,5,4,3,2,3,3,3,2,4,2,1,4,1,4,5,4,4,4,3,4,4,3,3,4,4,5,4,3,3,1,3,5,3,4,4,4,2,3,2,3,2,4,3,4,3,3,2,1,2,5,20,1,1,false,0,false,false,true,false,2,3
8,true,true,1,4,1,4,false,true,false,false,false,false,false,false,false,0,false,4,4,3,4,4,4,4,3,3,3,4,5,4,3,4,3,4,3,4,4,5,4,4,4,3,4,5,4,3,4,3,3,3,4,3,2,4,4,4,4,4,4,3,4,3,4,5,3,4,4,4,4,4,4,5,3,3,4,4,4,4,3,5,3,3,3,3,3,3,3,2,4,4,3,3,5,4,2,2,3,3,4,3,2,2,2,8,7,4,1,1,3,3,7,43,2,0,false,0,false,true,false,false,3,1
9,true,true,1,1,4,2,false,true,false,false,false,true,false,false,false,0,false,4,4,4,3,3,3,4,4,4,5,4,4,5,5,4,5,4,0,3,4,4,4,3,5,98,4,98,98,4,4,4,4,4,5,98,2,3,98,98,98,4,98,98,98,5,4,4,5,98,4,98,98,98,3,2,4,2,5,5,4,4,98,3,4,4,4,4,4,5,5,1,3,4,3,4,4,4,4,4,4,4,5,5,5,4,4,6,6,4,4,4,4,4,5,20,4,0,false,0,false,false,false,true,1,4
10,true,true,1,2,4,4,false,false,false,true,false,false,false,false,false,0,false,2,3,2,2,2,4,5,3,2,5,5,5,5,5,2,2,3,4,3,2,3,98,3,3,5,98,98,98,4,5,3,4,98,98,98,3,98,4,98,98,98,98,4,4,4,4,4,99,98,98,3,2,3,3,2,98,98,98,4,98,98,3,2,2,2,1,1,4,4,3,2,3,1,1,1,4,4,3,3,4,4,2,2,2,1,2,,,4,3,2,2,2,7,15,4,1,false,0,false,true,false,false,1,95
